Customer_ID,Name_and_Surname,Age,Gender,Location,Income_Level,Policy_Type,Premium_Amount,Dependents,Payment_Method,Late_Payments,Missed_Payments,Number_of_Complaints,Claims_Filed,Customer_Tenure,Service_Satisfaction,Churn_Percentage
1,Prince Chibanda,21,Male,Kadoma,High,Family,22,5,Mobile Money,4,0,0,3,7,5,28
2,Tariro Mataruse,51,Male,Victoria Falls,Medium,Family,72,2,Ecocash,3,4,3,0,6,2,100
3,Ashley Mupunga,51,Female,Hwange,Low,Family,56,5,Cash,3,5,1,0,7,2,92
4,Tadiwa Mashava,22,Male,Victoria Falls,Medium,Family,33,0,Cash,8,4,3,2,4,1,100
5,Tonderai Chikafu,30,Female,Masvingo,Low,Individual,44,0,Ecocash,9,1,0,3,4,5,60
6,Blessing Mutsvangwa,32,Male,Bindura,Medium,Family,48,5,Mobile Money,7,1,1,2,3,2,84
7,Melody Nkomo,57,Female,Kariba,High,Family,77,3,Cash,0,5,1,1,5,5,53
8,Tadiwa Chibanda,35,Female,Hwange,High,Family,49,1,Bank Debit,5,2,4,1,4,1,100
9,Natsai Chikore,66,Male,Masvingo,High,Family,91,3,Cash,8,5,1,1,3,1,100
10,Tafadzwa Mupinga,44,Female,Kariba,Low,Individual,58,5,Bank Debit,8,0,1,3,7,3,74
11,Fadzai Mupfudze,51,Female,Hwange,Medium,Family,38,2,Ecocash,9,5,3,0,6,3,100
12,Elton Mataruse,60,Female,Kwekwe,High,Family,16,1,Mobile Money,8,0,0,1,9,3,64
13,Rutendo Chikafu,57,Female,Chitungwiza,Medium,Family,68,2,Ecocash,9,5,2,2,7,2,100
14,Tonderai Mutsvairo,45,Female,Chitungwiza,Medium,Family,72,1,Cash,2,4,4,2,2,4,94
15,Shingirai Chirinda,68,Male,Gweru,Low,Family,39,1,Mobile Money,8,3,0,3,5,2,93
16,Precious Mpofu,19,Male,Norton,High,Family,34,0,Ecocash,6,5,2,3,5,2,100
17,Kundai Mupamhanga,54,Male,Gweru,Medium,Family,19,2,Mobile Money,0,0,1,2,9,4,26
18,Rumbidzai Mupinga,62,Female,Kariba,High,Individual,68,3,Bank Debit,6,0,3,0,7,5,68
19,Kudzai Mupfudze,49,Female,Masvingo,Low,Individual,91,5,Ecocash,7,3,1,0,6,1,100
20,Natsai Mupfudze,34,Female,Mutare,Low,Family,29,2,Bank Debit,9,5,3,2,1,3,100
21,Memory Chiweshe,26,Female,Kadoma,Medium,Family,88,1,Bank Debit,1,2,1,2,3,1,69
22,Tawanda Mupinga,69,Male,Mutare,High,Individual,100,4,Mobile Money,5,5,4,0,3,1,100
23,Blessing Chikwanda,42,Female,Kadoma,High,Family,56,3,Ecocash,2,3,4,2,8,4,87
24,Natsai Chikafu,26,Male,Mutare,High,Individual,46,3,Bank Debit,3,4,2,0,2,1,100
25,Natsai Dube,65,Male,Kariba,Low,Family,114,0,Bank Debit,6,0,2,1,4,4,66
26,Tinotenda Munyoro,38,Female,Chitungwiza,Medium,Family,44,2,Cash,2,2,0,0,8,3,48
27,Farai Chikwanda,26,Female,Mutare,High,Individual,54,2,Ecocash,9,5,0,1,9,3,100
28,Memory Munyoro,66,Male,Hwange,High,Individual,50,5,Bank Debit,2,3,3,2,1,2,95
29,Kudakwashe Moyo,73,Male,Marondera,Low,Family,100,3,Bank Debit,2,3,3,0,6,2,93
30,Fadzai Dube,24,Female,Kadoma,Low,Family,117,5,Mobile Money,4,4,0,2,8,4,64
31,Tendai Mutsvairo,58,Male,Hwange,Medium,Family,116,1,Ecocash,2,2,3,3,8,5,62
32,Memory Mhlanga,35,Male,Marondera,Medium,Individual,11,3,Mobile Money,3,1,1,0,2,4,48
33,Kudzai Chibanda,72,Female,Norton,Low,Family,118,2,Mobile Money,5,2,4,3,2,4,95
34,Shingirai Chirume,55,Male,Chitungwiza,Low,Family,92,3,Bank Debit,0,4,4,2,1,3,94
35,Tonderai Mutasa,28,Male,Kariba,Medium,Individual,27,3,Cash,4,2,1,0,9,2,76
36,Elton Mapfumo,34,Male,Chitungwiza,Medium,Individual,13,4,Cash,6,1,1,2,2,2,79
37,Elton Matiza,71,Male,Bulawayo,High,Family,75,0,Cash,5,0,3,2,6,2,87
38,Farai Mupunga,33,Male,Bindura,Medium,Individual,90,2,Mobile Money,7,4,2,1,4,5,91
39,Tadiwa Mutizwa,65,Male,Masvingo,Low,Individual,50,5,Bank Debit,2,4,0,0,9,2,70
40,Takudzwa Mutambara,69,Female,Norton,High,Family,16,4,Bank Debit,2,4,1,3,4,4,64
41,Tafadzwa Masuku,25,Male,Kwekwe,Medium,Family,73,4,Mobile Money,5,2,0,3,3,4,55
42,Clive Munyoro,20,Male,Hwange,Low,Individual,36,5,Bank Debit,6,3,4,3,1,4,100
43,Taurai Mupamhanga,46,Female,Gweru,Medium,Individual,102,2,Cash,1,3,4,3,9,1,100
44,Faith Munyai,61,Male,Masvingo,High,Individual,105,1,Mobile Money,2,3,3,0,3,3,85
45,Tinotenda Mupunga,34,Female,Bindura,High,Family,29,5,Ecocash,5,3,1,2,4,1,96
46,Kudakwashe Mupfumi,67,Male,Kadoma,Low,Family,118,2,Bank Debit,5,3,1,2,2,1,96
47,Takudzwa Chikwanda,49,Female,Chegutu,High,Family,16,3,Ecocash,6,3,2,3,2,3,95
48,Nyasha Mashava,40,Male,Mutare,High,Family,34,1,Bank Debit,3,5,1,2,1,1,100
49,Brian Mupoperi,71,Male,Kadoma,Low,Family,15,2,Mobile Money,6,0,2,2,6,5,58
50,Tonderai Chikowore,60,Female,Chegutu,Medium,Individual,106,0,Ecocash,5,4,3,0,6,3,100
51,Rumbidzai Mataruse,22,Male,Kwekwe,Low,Individual,92,1,Bank Debit,3,3,3,3,2,5,74
52,Tafadzwa Moyo,69,Male,Mutare,High,Family,87,4,Mobile Money,0,3,3,0,9,1,91
53,Prince Munetsi,61,Female,Masvingo,High,Family,101,3,Ecocash,9,0,0,0,1,5,55
54,Brian Mutizwa,30,Female,Masvingo,Medium,Individual,56,4,Ecocash,7,3,2,1,4,1,100
55,Tinashe Matiza,21,Male,Kwekwe,High,Family,40,2,Bank Debit,3,1,4,0,3,4,78
56,Kundai Mashingaidze,52,Female,Chitungwiza,High,Family,36,0,Bank Debit,7,0,4,3,2,4,91
57,Kundai Mashava,18,Male,Chegutu,Medium,Individual,45,2,Mobile Money,6,4,0,0,1,4,76
58,Taurai Mutsvairo,30,Female,Victoria Falls,High,Family,78,1,Mobile Money,8,3,2,0,5,1,100
59,Simba Masango,26,Male,Bulawayo,High,Family,79,3,Cash,7,3,0,0,8,2,88
60,Tanaka Mapfumo,28,Female,Chitungwiza,High,Individual,94,0,Mobile Money,5,2,0,3,6,5,47
61,Natsai Mupinga,64,Male,Kariba,Low,Family,79,0,Mobile Money,0,5,1,0,8,5,53
62,Natsai Chikore,63,Female,Marondera,Medium,Family,91,4,Bank Debit,5,3,0,0,4,1,86
63,Nyasha Mutizwa,58,Female,Mutare,High,Individual,11,1,Cash,7,5,2,1,4,5,98
64,Tawanda Mapfumo,44,Male,Bulawayo,Low,Family,89,2,Cash,4,3,3,2,4,2,100
65,Tawanda Chirinda,27,Female,Bindura,High,Individual,66,5,Ecocash,0,0,3,2,8,4,46
66,Nyarai Mupamhanga,51,Male,Mutare,Medium,Individual,58,1,Ecocash,6,2,3,2,9,4,90
67,Tadiwa Mupunga,64,Male,Chegutu,High,Individual,30,2,Ecocash,1,2,0,0,4,2,51
68,Shamiso Mashiri,23,Female,Victoria Falls,High,Individual,71,3,Bank Debit,8,3,0,0,1,1,100
69,Tafadzwa Mutsvairo,71,Male,Gweru,Medium,Family,50,1,Cash,5,1,4,1,9,2,100
70,Rumbidzai Moyo,39,Female,Kwekwe,Medium,Family,47,1,Cash,1,4,0,2,8,3,57
71,Tinashe Mashava,71,Male,Chegutu,Low,Individual,16,5,Mobile Money,4,3,2,3,7,2,93
72,Elton Nkomo,62,Female,Norton,High,Individual,17,1,Mobile Money,2,5,1,1,4,2,87
73,Tapiwa Nkala,72,Male,Harare,Medium,Family,104,5,Cash,1,3,3,0,3,5,64
74,Shingirai Chirinda,21,Female,Chitungwiza,Medium,Individual,112,1,Mobile Money,6,2,3,1,5,2,100
75,Farai Mupinga,45,Male,Chegutu,Low,Individual,41,1,Bank Debit,6,4,0,3,4,1,98
76,Tapiwa Mutambara,46,Female,Kariba,Low,Individual,62,5,Cash,7,2,4,1,9,2,100
77,Farai Mupunga,59,Male,Marondera,High,Individual,116,5,Ecocash,7,1,3,3,7,4,88
78,Tatenda Mashiri,42,Female,Bindura,Medium,Individual,100,1,Mobile Money,8,0,4,2,2,3,100
79,Nyasha Nkomo,36,Female,Harare,High,Individual,98,1,Mobile Money,8,2,1,2,6,2,96
80,Shingirai Munyai,22,Male,Chitungwiza,Medium,Family,117,2,Bank Debit,0,0,1,1,3,3,34
81,Ashley Chirinda,53,Male,Kadoma,High,Family,114,2,Ecocash,9,1,4,1,4,1,100
82,Tatenda Mutizwa,36,Male,Kariba,Medium,Family,90,4,Ecocash,0,5,3,2,3,1,100
83,Nyarai Chirinda,57,Male,Harare,Medium,Family,112,5,Bank Debit,6,3,4,2,9,3,100
84,Elton Chikowore,27,Female,Bindura,High,Family,19,4,Ecocash,8,3,2,3,7,5,89
85,Tinashe Mupunga,60,Male,Kariba,Medium,Family,95,3,Mobile Money,1,3,4,0,7,4,82
86,Rudo Sibanda,28,Male,Masvingo,Low,Individual,42,1,Ecocash,9,0,4,1,5,5,93
87,Brian Munyoro,33,Male,Mutare,Low,Individual,104,1,Mobile Money,2,3,3,1,7,5,69
88,Shamiso Mupunga,53,Female,Hwange,Medium,Individual,115,5,Bank Debit,7,5,4,0,9,5,100
89,Tendekai Chikafu,48,Male,Bulawayo,Medium,Family,24,4,Ecocash,6,5,0,1,7,4,81
90,Fadzai Mhlanga,32,Female,Bulawayo,High,Individual,77,0,Bank Debit,4,5,1,1,5,3,89
91,Takudzwa Mupoperi,22,Female,Hwange,High,Individual,13,2,Mobile Money,4,3,3,1,9,4,87
92,Clive Chirume,21,Female,Bulawayo,Low,Family,111,3,Mobile Money,1,1,0,3,8,5,20
